situation_lemmatized,situation_lemmatized_lowered
I don't like the way my husband decorate the house.,I i don't like the way my husband decorate the house.
I can’t tell if I watch Lindsey Shepard’s you tube video due to her argument or because she’s a straight up babe..,I i can’t tell if i watch lindsey shepard’s you tube video due to her argument or because she’s a straight up babe..
I do a very very bad thing.,I i do a very very bad thing.
I do a very very bad thing.,I i do a very very bad thing.
I can’t feel anything other than a hole in my chest.,I i can’t feel anything other than a hole in my chest.
I can’t feel anything other than a hole in my chest.,I i can’t feel anything other than a hole in my chest.
I feel like my abusive relationship be a result of my masochistic tendencies.,I i feel like my abusive relationship be a result of my masochistic tendencies.
Sometimes I wish I am a slug.,I sometimes i wish I am a slug.
I am really pretty.,I I am really pretty.
I am really pretty.,I I am really pretty.
I hate straight people.,I i hate straight people.
"I love my Mom, but I think she treat my Dad awfully.","I i love my mom, but i think she treat my dad awfully."
"I love my Mom, but I think she treat my Dad awfully.","I i love my mom, but i think she treat my dad awfully."
I Accused of something that still scar me.,I accuse of something that still scar me.
I Accused of something that still scar me.,I accuse of something that still scar me.
I don't smoke to get high.,I i don't smoke to get high.
I don't smoke to get high.,I i don't smoke to get high.
I force my mom to make out with me.,I i force my mom to make out with me.
I want to cry but I don't know how.,I i want to cry but i don't know how.
I constantly throw away my used Tupperware instead of clean it.,I i constantly throw away my used tupperware instead of clean it.
I Was Molested by my Father.,I I am molest by my father.
"I cheat on my boyfriend, get pregnant from another man and now I want to get him back.","I i cheat on my boyfriend, get pregnant from another man and now i want to get him back."
I cry when I saw my favorite band live for the first time.,I i cry when i saw my favorite band live for the first time.
I brush my teeth at 3am and drink a can of coca cola at 4am.,I i brush my teeth at 3am and drink a can of coca cola at 4am.
I purposely avoid a friend because I find our conversation awkward and she always want to talk.,I i purposely avoid a friend because i find our conversation awkward and she always want to talk.
I purposely avoid a friend because I find our conversation awkward and she always want to talk.,I i purposely avoid a friend because i find our conversation awkward and she always want to talk.
I want to give him brain damage.,I i want to give him brain damage.
I I'm so desperate it kind of hurt.,I'M so desperate it kind of hurt.
"When I find out my boyfriend cheat on me with multiple woman while I am in the hospital with our newborn son, I use his toothbrush to clean the toilet bowl for a month.","I when i find out my boyfriend cheat on me with multiple woman while I am in the hospital with our newborn son, i use his toothbrush to clean the toilet bowl for a month."
Confession: I dont want to go to school.,I confession: i dont want to go to school.
I Been have a hard time cop with NZ shoot.,I am have a hard time cop with nz shoot.
I am an animal abuser.,I I am an animal abuser.
I lie about my virginity too many time that there be no way I can tell the truth now.,I i lie about my virginity too many time that there be no way i can tell the truth now.
Frequently when I want people to like me and they tell unfunny joke I think of good joke and laugh sincerely.,I frequently when i want people to like me and they tell unfunny joke i think of good joke and laugh sincerely.
Frequently when I want people to like me and they tell unfunny joke I think of good joke and laugh sincerely.,I frequently when i want people to like me and they tell unfunny joke i think of good joke and laugh sincerely.
I am pretty suicidal but I put on a brave face every day.,I I am pretty suicidal but i put on a brave face every day.
I am pretty suicidal but I put on a brave face every day.,I I am pretty suicidal but i put on a brave face every day.
I don’t tell my friend how tragic my father death really be.,I i don’t tell my friend how tragic my father death really be.
Sometimes I like to pretend that my favorite celebrities’ tweet be about me.,I sometimes i like to pretend that my favorite celebrities’ tweet be about me.
I sometimes chew on my keyboard.,I i sometimes chew on my keyboard.
Sometimes I call my sister my cat's name.,I sometimes i call my sister my cat's name.
"I get violent zombie dream when I drink, so sometimes I drink to get violent zombie dreams.","I i get violent zombie dream when i drink, so sometimes i drink to get violent zombie dreams."
I am Cheating On My Wife.,I I am cheat on my wife.
I am Cheating On My Wife.,I I am cheat on my wife.
I refuse to use a photo of myself as a profile picture on social medium.,I i refuse to use a photo of myself as a profile picture on social medium.
I refuse to use a photo of myself as a profile picture on social medium.,I i refuse to use a photo of myself as a profile picture on social medium.
"I love smoke the devil’s lettuce and have a couple of drinks. I don’t do it very often, but when I do, I love it and have zero regrets.","I i love smoke the devil’s lettuce and have a couple of drinks. i don’t do it very often, but when i do, i love it and have zero regrets."
I stay in an abusive relationship because I amlieve I don't deserve anything better..,I i stay in an abusive relationship because I amlieve i don't deserve anything better..
"I love smoke the devil’s lettuce and have a couple of drinks. I don’t do it very often, but when I do, I love it and have zero regrets.","I i love smoke the devil’s lettuce and have a couple of drinks. i don’t do it very often, but when i do, i love it and have zero regrets."
Why I hate my family.,I why i hate my family.
Why I hate my family.,I why i hate my family.
All I want to do be be high off something 100% of the time.,I all i want to do be be high off something 100% of the time.
I don’t want to live anymore.,I i don’t want to live anymore.
I am my own bad enemy and attack myself. I want to self harm.,I I am my own bad enemy and attack myself. i want to self harm.
I hope I dont see my brother ever.,I i hope i dont see my brother ever.
I am obsess with my appearance.,I I am obsess with my appearance.
I get a man to cheat on his wife just to see if I could.,I i get a man to cheat on his wife just to see if i could.
I get a man to cheat on his wife just to see if I could.,I i get a man to cheat on his wife just to see if i could.
I clean the toilet with my roommate's washcloth.,I i clean the toilet with my roommate's washcloth.
I am prepare to off myself after my mom dies.,I I am prepare to off myself after my mom dies.
I think jackelopes be real until about ten minute ago. I’m almost 15.,I i think jackelopes be real until about ten minute ago. i’m almost 15.
Sometimes I almost hate my boyfriend.,I sometimes i almost hate my boyfriend.
I shoot my man milk onto my girlfriend without her knowledge.,I i shoot my man milk onto my girlfriend without her knowledge.
Years ago I am involve in a minor hit and run.,I year ago I am involve in a minor hit and run.
I’m bulimic and I love it.,I i’m bulimic and i love it.
I feel like a traitot.,I i feel like a traitot.
I feel like a traitot.,I i feel like a traitot.
I'm a piece of human trash.,I i'm a piece of human trash.
I am sort of kidnap as a child.,I I am sort of kidnap as a child.
I am sort of kidnap as a child.,I I am sort of kidnap as a child.
Once I masturbate with aloe gel.,I once i masturbate with aloe gel.
Once I masturbate with aloe gel.,I once i masturbate with aloe gel.
Sometimes I feel down with life.,I sometimes i feel down with life.
I hit someone’s car in my university’s parking garage this morning.,I i hit someone’s car in my university’s parking garage this morning.
I There be Too Many Trolls On This Sub!.,I there be too many troll on this sub!.
I steal my exroommate’s calculator just before her math final exam.,I i steal my exroommate’s calculator just before her math final exam.
I steal my exroommate’s calculator just before her math final exam.,I i steal my exroommate’s calculator just before her math final exam.
I make a girl have an allergic reaction because I didn’t believe that her allergy existed.,I i make a girl have an allergic reaction because i didn’t believe that her allergy existed.
I steal my exroommate’s calculator just before her math final exam.,I i steal my exroommate’s calculator just before her math final exam.
I am that one annoy kid that always remind teacher about homework because my classmate would steal my pencil and erasers.,I I am that one annoy kid that always remind teacher about homework because my classmate would steal my pencil and erasers.
I steal my final exam.,I i steal my final exam.
"I'm 34. Not old but definitely not a pup, and I have absolutely no regret about never go to college.","I i'm 34. not old but definitely not a pup, and i have absolutely no regret about never go to college."
"I'm a cheat, liar and a horrible person.","I i'm a cheat, liar and a horrible person."
I identify as a 'fictional' cartoon character.,I i identify as a 'fictional' cartoon character.
I take too Much Ecstasy on the wrong day.,I i take too much ecstasy on the wrong day.
I take too Much Ecstasy on the wrong day.,I i take too much ecstasy on the wrong day.
I never provide support to someone important.,I i never provide support to someone important.
I never provide support to someone important.,I i never provide support to someone important.
I hate the way I am.,I i hate the way I am.
If I overhear a stranger state their name in public I automatically try and Facebook stalk them.,I if i overhear a stranger state their name in public i automatically try and facebook stalk them.
I work for Big Pharma..I am force to keep quiet about lot of stuff..I quit work just so I can tell you!.,I i work for big pharma..I am force to keep quiet about lot of stuff..i quit work just so i can tell you!.
I work for Big Pharma..I am force to keep quiet about lot of stuff..I quit work just so I can tell you!.,I i work for big pharma..I am force to keep quiet about lot of stuff..i quit work just so i can tell you!.
I lie that my son have chicken pox.,I i lie that my son have chicken pox.
I cheat on my GF with the guy that she cheat on me with..,I i cheat on my gf with the guy that she cheat on me with..
I cheat on my GF with the guy that she cheat on me with..,I i cheat on my gf with the guy that she cheat on me with..
I get a tattoo for my boyfriend.,I i get a tattoo for my boyfriend.
I get a tattoo for my boyfriend.,I i get a tattoo for my boyfriend.
I accidentally cost my dad's side of the family netflix.,I i accidentally cost my dad's side of the family netflix.
I accidentally cost my dad's side of the family netflix.,I i accidentally cost my dad's side of the family netflix.
I cheat on my GF with the guy that she cheat on me with..,I i cheat on my gf with the guy that she cheat on me with..
I eat my own scabs.,I i eat my own scabs.
I’m a serial cheater.,I i’m a serial cheater.
I’m a serial cheater.,I i’m a serial cheater.
I want my friend to break up.,I i want my friend to break up.
I want my friend to break up.,I i want my friend to break up.
I am PROBABLY a target of a kidnapper when I am 6 year old.,I I am probably a target of a kidnapper when I am 6 year old.
I miss old-school phone books!.,I i miss old-school phone books!.
I really want to apply for my master but be terrify of be rejected.,I i really want to apply for my master but be terrify of be rejected.
I really want to apply for my master but be terrify of be rejected.,I i really want to apply for my master but be terrify of be rejected.
"I lie to client say I personally be a proficient Python, PHP programmer, etc, in order to close deal I then outsource to people I under pay to keep the spread. I make excellent money exploit others, and I am quite proud of my earn capacity, so long as others don't know the truth.","I i lie to client say i personally be a proficient python, php programmer, etc, in order to close deal i then outsource to people i under pay to keep the spread. i make excellent money exploit others, and I am quite proud of my earn capacity, so long as others don't know the truth."
"I lie to client say I personally be a proficient Python, PHP programmer, etc, in order to close deal I then outsource to people I under pay to keep the spread. I make excellent money exploit others, and I am quite proud of my earn capacity, so long as others don't know the truth.","I i lie to client say i personally be a proficient python, php programmer, etc, in order to close deal i then outsource to people i under pay to keep the spread. i make excellent money exploit others, and I am quite proud of my earn capacity, so long as others don't know the truth."
I touch a nerdy man's thigh on Monday.,I i touch a nerdy man's thigh on monday.
I think I molest someone.,I i think i molest someone.
I think I molest someone.,I i think i molest someone.
"When I am with my ex, I'd fantasize about him die so I could be with his best friend.","I when I am with my ex, i'd fantasize about him die so i could be with his best friend."
I don't like Jews and I'm a 19 year old girl.,I i don't like jew and i'm a 19 year old girl.
I don't feel like I'm worthy of be love or that I should ever find someone to be with romantically.,I i don't feel like i'm worthy of be love or that i should ever find someone to be with romantically.
I accidentally make my friend fail his Finals.,I i accidentally make my friend fail his finals.
I Hooked up with my best friend.,I hook up with my best friend.
I love my wife but..,I i love my wife but..
I love my wife but..,I i love my wife but..
"I always pretend I'm unavailable on message apps, even to my SO.","I i always pretend i'm unavailable on message apps, even to my so."
"I always pretend I'm unavailable on message apps, even to my SO.","I i always pretend i'm unavailable on message apps, even to my so."
I feel nothing for my grandpa.,I i feel nothing for my grandpa.
I feel nothing for my grandpa.,I i feel nothing for my grandpa.
I feel nothing for my grandpa.,I i feel nothing for my grandpa.
I feel nothing for my grandpa.,I i feel nothing for my grandpa.
I Don’t Want No Stinkin NlGGERS In My Restaurant.,I i don’t want no stinkin nlggers in my restaurant.
I Don’t Want No Stinkin NlGGERS In My Restaurant.,I i don’t want no stinkin nlggers in my restaurant.
I give girl that have abortion or their kid take away Happy Mothers Day Cards.,I i give girl that have abortion or their kid take away happy mother day cards.
I give girl that have abortion or their kid take away Happy Mothers Day Cards.,I i give girl that have abortion or their kid take away happy mother day cards.
"I think derogatory term for white people be actually funny sounding, not insulting.","I i think derogatory term for white people be actually funny sounding, not insulting."
"I think derogatory term for white people be actually funny sounding, not insulting.","I i think derogatory term for white people be actually funny sounding, not insulting."
10 day to graduation and I just realize I don't want a career in my major.,I 10 day to graduation and i just realize i don't want a career in my major.
Idk why I get so angry when I see this one guy photo. even tho I don't like him or anything..,I idk why i get so angry when i see this one guy photo. even tho i don't like him or anything..
I steal my neighbor dog.,I i steal my neighbor dog.
I wish bad thing happen to people who brag about how great their life are.,I i wish bad thing happen to people who brag about how great their life are.
"My parent and I cause her death, I hate them and myself for it.","I my parent and i cause her death, i hate them and myself for it."
I Stalked a woman before we we end up in a relationship.,I stalk a woman before we we end up in a relationship.
I dont like cop but watch Soverign Citizen video be so much fun to me.,I i dont like cop but watch soverign citizen video be so much fun to me.
I wish I die already.,I i wish i die already.
I win ticket to a show for my husband but I am not go to take him.,I i win ticket to a show for my husband but I am not go to take him.
I win ticket to a show for my husband but I am not go to take him.,I i win ticket to a show for my husband but I am not go to take him.
Ex boyfriend lock up in jail since 3 year and I never ever felt that much happy.,I ex boyfriend lock up in jail since 3 year and i never ever felt that much happy.
I can't tell if I'm bless or curse that I get to go to college for free.,I i can't tell if i'm bless or curse that i get to go to college for free.
as a kid I physically attack my father cause I think he is kidnap my sister.,I as a kid i physically attack my father cause i think he is kidnap my sister.
as a kid I physically attack my father cause I think he is kidnap my sister.,I as a kid i physically attack my father cause i think he is kidnap my sister.
I would put up with abuse.,I i would put up with abuse.
I once break a necklace in a store and I just put it back like nothing happen.,I i once break a necklace in a store and i just put it back like nothing happen.
I eat Pad Thai out of the trash.,I i eat pad thai out of the trash.
That feeling when you look at your significant other..,I that feel when you look at your significant other..
"Last night in Houston, Texas, I steal a homeless man dog while he is asleep.","I last night in houston, texas, i steal a homeless man dog while he is asleep."
Reason 87676876668686 why I can't stand white people.,I reason 87676876668686 why i can't stand white people.
Reason 87676876668686 why I can't stand white people.,I reason 87676876668686 why i can't stand white people.
"I feel superior to everyone else around me, and I feel like my life confirm this belief constantly.","I i feel superior to everyone else around me, and i feel like my life confirm this belief constantly."
I Should Probably Get Help But I Don't Want It.,I i should probably get help but i don't want it.
I hate my boyfriend.,I i hate my boyfriend.
I punch my step mum in the nose and I hit her head with my step sister milk bottle 3x.,I i punch my step mum in the nose and i hit her head with my step sister milk bottle 3x.
I punch my step mum in the nose and I hit her head with my step sister milk bottle 3x.,I i punch my step mum in the nose and i hit her head with my step sister milk bottle 3x.
I Are men into be the submissive?.,I am men into be the submissive?.
I don't like the fact my mother pretend she do nothing wrong during my childhood.,I i don't like the fact my mother pretend she do nothing wrong during my childhood.
I don't like the fact my mother pretend she do nothing wrong during my childhood.,I i don't like the fact my mother pretend she do nothing wrong during my childhood.
I just tell a ridiculous lie about an event I'm attending.,I i just tell a ridiculous lie about an event i'm attending.
I recently find out that I'm autoromantic.,I i recently find out that i'm autoromantic.
I recently find out that I'm autoromantic.,I i recently find out that i'm autoromantic.
I hate my life.,I i hate my life.
I want to choke my neighbor.,I i want to choke my neighbor.
I lose a bet and have to delete my account.,I i lose a bet and have to delete my account.
I can't stop cringing at embarrass past events.,I i can't stop cringing at embarrass past events.
I steal a dress from my school’s theatre department.,I i steal a dress from my school’s theatre department.
I still romanticize my unhealthy relationship.,I i still romanticize my unhealthy relationship.
I force myself to get tunnel vision with my eye half-closed and then i can see in my past:.,I i force myself to get tunnel vision with my eye half-closed and then i can see in my past:.
I have be very sad lately.,I i have be very sad lately.
I leave everyone in my family behind for my convenience.,I i leave everyone in my family behind for my convenience.
I leave everyone in my family behind for my convenience.,I i leave everyone in my family behind for my convenience.
"I make a fake post pretending to be a middle-aged married woman cheat on her husband with an 18yo, and a teenager DM'ed me confess he sleep with his mom's friend.","I i make a fake post pretending to be a middle-aged married woman cheat on her husband with an 18yo, and a teenager dm'ed me confess he sleep with his mom's friend."
"I make a fake post pretending to be a middle-aged married woman cheat on her husband with an 18yo, and a teenager DM'ed me confess he sleep with his mom's friend.","I i make a fake post pretending to be a middle-aged married woman cheat on her husband with an 18yo, and a teenager dm'ed me confess he sleep with his mom's friend."
I am sacrifice my psychological and physical health to maintain medical qualification for education.,I I am sacrifice my psychological and physical health to maintain medical qualification for education.
I'm a 25 year old man and I self harm.,I i'm a 25 year old man and i self harm.
I am rude to all doctor whether in social situation or practice - since they are selective over whom they arerate for have tattoo.,I I am rude to all doctor whether in social situation or practice - since they are selective over whom they arerate for have tattoo.
I am rude to all doctor whether in social situation or practice - since they are selective over whom they arerate for have tattoo.,I I am rude to all doctor whether in social situation or practice - since they are selective over whom they arerate for have tattoo.
I am chronically late to important thing and I use my niece’s battle with leukemia as an excuse.,I I am chronically late to important thing and i use my niece’s battle with leukemia as an excuse.
I Am Ashamed About Being An Asian Man.,I I am ashamed about be an asian man.
I hate when people make thing up to make themselves look like a busy person. You're not fool anyone.,I i hate when people make thing up to make themselves look like a busy person. you're not fool anyone.
I hate when people make thing up to make themselves look like a busy person. You're not fool anyone.,I i hate when people make thing up to make themselves look like a busy person. you're not fool anyone.
I Trying to feel okay do the most for my best friend.,I try to feel okay do the most for my best friend.
I Trying to feel okay do the most for my best friend.,I try to feel okay do the most for my best friend.
The most disgusting thing I ever do as an alcoholic.,I the most disgusting thing i ever do as an alcoholic.
I get angry about the past to the point that I want to hit something.,I i get angry about the past to the point that i want to hit something.
I Found out my MIL be have an affair.,I find out my mil be have an affair.
I Found out my MIL be have an affair.,I find out my mil be have an affair.
I Wood-fired Ovens be Healthier and More Versatile.,I wood-fired oven be healthy and more versatile.
I take more than the recommend dose for nyquil.,I i take more than the recommend dose for nyquil.
I report Facebook profile with fake names. Even if they're my friends.,I i report facebook profile with fake names. even if they're my friends.
I report Facebook profile with fake names. Even if they're my friends.,I i report facebook profile with fake names. even if they're my friends.
I like to tussle with arrogant men..,I i like to tussle with arrogant men..
I like to tussle with arrogant men..,I i like to tussle with arrogant men..
I make people suicidal who dont do exactly what I want.,I i make people suicidal who dont do exactly what i want.
I get my flatmate kick out.,I i get my flatmate kick out.
The guy I make out with have a girlfriend.,I the guy i make out with have a girlfriend.
"I know about so many of my family and friends’ significant others cheat on them but I keep it to myself, and always will.","I i know about so many of my family and friends’ significant others cheat on them but i keep it to myself, and always will."
"I know about so many of my family and friends’ significant others cheat on them but I keep it to myself, and always will.","I i know about so many of my family and friends’ significant others cheat on them but i keep it to myself, and always will."
I hate my mom for what she have do.,I i hate my mom for what she have do.
I hate my mom for what she have do.,I i hate my mom for what she have do.
I like to read gore heavy story of traditionally family friendly character.,I i like to read gore heavy story of traditionally family friendly character.
I might be a manarchist.,I i might be a manarchist.
I'm pretty sure I cause my parent divorce.,I i'm pretty sure i cause my parent divorce.
When I am 10 I want to move to Russia to lead a communist revolution and become dictator of the Soviet Union.,I when I am 10 i want to move to russia to lead a communist revolution and become dictator of the soviet union.
I Pour Hot Wax Over My Hands For No Reason.,I i pour hot wax over my hand for no reason.
I haven't see my 16yo son since I assault him.,I i haven't see my 16yo son since i assault him.
I haven't see my 16yo son since I assault him.,I i haven't see my 16yo son since i assault him.
I am a MIL and I cannot reveal the reason I have for hat my daughter in law.,I I am a mil and i cannot reveal the reason i have for hat my daughter in law.
I hit my head when I'm frustrate.,I i hit my head when i'm frustrate.
I buy a puppy mill puppy.,I i buy a puppy mill puppy.
I buy a puppy mill puppy.,I i buy a puppy mill puppy.
I’m not sure If I like this girl or I’m just tell myself that.,I i’m not sure if i like this girl or i’m just tell myself that.
I feel like it’s an accomplishment whenever I go to bed feeling hungry.,I i feel like it’s an accomplishment whenever i go to bed feeling hungry.
I could be the isst hitman ever.,I i could be the isst hitman ever.
I Jacked off on blueberry and sell them.,I jack off on blueberry and sell them.
I I’m lonely and Valentines be come up.,I i’m lonely and valentine be come up.
I think I enjoy mentally torture my ex.,I i think i enjoy mentally torture my ex.
I think I enjoy mentally torture my ex.,I i think i enjoy mentally torture my ex.
I think I enjoy mentally torture my ex.,I i think i enjoy mentally torture my ex.
I touch my sister while she is sleep and masturbate while do so.I am age 12-14 when i do these things.Its be a long while since this stuff happened.If you are abuse im very sorry for what happen to you and would suggest not enter this confession.,I i touch my sister while she is sleep and masturbate while do so.I am age 12-14 when i do these things.its be a long while since this stuff happened.if you are abuse im very sorry for what happen to you and would suggest not enter this confession.
I bolt out of the house during the last earthquake and run into the street leave my wife to fend for herself.,I i bolt out of the house during the last earthquake and run into the street leave my wife to fend for herself.
I bolt out of the house during the last earthquake and run into the street leave my wife to fend for herself.,I i bolt out of the house during the last earthquake and run into the street leave my wife to fend for herself.
I Regularly Think About Hurting People.,I i regularly think about hurt people.
I have laugh at The Big Bang Theory.,I i have laugh at the big bang theory.
"I accidentally euthanized my roommate's dog against its will, while my roommate be vacation in Europe.","I i accidentally euthanized my roommate's dog against its will, while my roommate be vacation in europe."
"I accidentally euthanized my roommate's dog against its will, while my roommate be vacation in Europe.","I i accidentally euthanized my roommate's dog against its will, while my roommate be vacation in europe."
"I accidentally euthanized my roommate's dog against its will, while my roommate be vacation in Europe.","I i accidentally euthanized my roommate's dog against its will, while my roommate be vacation in europe."
"As of today, I am a fish murderer..","I as of today, I am a fish murderer.."
I have steal match from my friend house.,I i have steal match from my friend house.
I hate my coworker.,I i hate my coworker.
I don’t think my friend support me anymore.,I i don’t think my friend support me anymore.
I feel guilty for existing.,I i feel guilty for existing.
I jack off to my friend sister.,I i jack off to my friend sister.
I Are short male consider to be deal men?.,I am short male consider to be deal men?.
I My Family Is Pressuring Me Over Politics.,I my family be pressure me over politics.
I think I ruin my eyesight.,I i think i ruin my eyesight.
I My Family Is Pressuring Me Over Politics.,I my family be pressure me over politics.
I start my day with a shot of tequila.,I i start my day with a shot of tequila.
I never eat ANYTHING without cheese.,I i never eat anything without cheese.
I wish my brother ex-girfriend vanishes with all bad that she cause but he is still in love with her.,I i wish my brother ex-girfriend vanishes with all bad that she cause but he is still in love with her.
I tell my parent that I want to be a lawyer but actually I want to be a...,I i tell my parent that i want to be a lawyer but actually i want to be a...
I miss out on school because of acne.,I i miss out on school because of acne.
"I’m vocally against Fortnite, but I want to download and play it with a couple of friends.","I i’m vocally against fortnite, but i want to download and play it with a couple of friends."
I wanna date to fit in.,I i wanna date to fit in.
"Goodbye letter to my friend, who I love.","I goodbye letter to my friend, who i love."
I I’m in a loving relationship but I’m hot for the VP of my department..it’s bad.,I’M in a loving relationship but i’m hot for the vp of my department..it’s bad.
I really want people to storm Area 51.,I i really want people to storm area 51.
I am resentful of my brother.,I I am resentful of my brother.
I am resentful of my brother.,I I am resentful of my brother.
A girl I like.,I a girl i like.
A girl I like.,I a girl i like.
"I love him, and I can't tell him.","I i love him, and i can't tell him."
I Im not racist but Indians be straight up NlGGERS!!!.,I im not racist but indian be straight up nlggers!!!.
Fell for a one night stand while married.,I fell for a one night stand while married.
Fell for a one night stand while married.,I fell for a one night stand while married.
I am a race traitor.,I I am a race traitor.
I feel really bad.,I i feel really bad.
I break up with my boyfriend last night.,I i break up with my boyfriend last night.
I break up with my boyfriend last night.,I i break up with my boyfriend last night.
I live in a tourist zone and as I walk past asian I feel like they are think “ ohhh very special white man” in a Chinese accent.,I i live in a tourist zone and as i walk past asian i feel like they are think “ ohhh very special white man” in a chinese accent.
I live in a tourist zone and as I walk past asian I feel like they are think “ ohhh very special white man” in a Chinese accent.,I i live in a tourist zone and as i walk past asian i feel like they are think “ ohhh very special white man” in a chinese accent.
I fapblock my boyfriend on purpose.,I i fapblock my boyfriend on purpose.
I make a diluted solution of hydrogen cyanide at home and throw it out my backyard.. a mouse lick the poison spill and die to my homemade poison..,I i make a diluted solution of hydrogen cyanide at home and throw it out my backyard.. a mouse lick the poison spill and die to my homemade poison..
I make a diluted solution of hydrogen cyanide at home and throw it out my backyard.. a mouse lick the poison spill and die to my homemade poison..,I i make a diluted solution of hydrogen cyanide at home and throw it out my backyard.. a mouse lick the poison spill and die to my homemade poison..
I want to try it just once.,I i want to try it just once.
I wish that I have be raise by a family of my own race than with white people.,I i wish that i have be raise by a family of my own race than with white people.
I wish that I have be raise by a family of my own race than with white people.,I i wish that i have be raise by a family of my own race than with white people.
I lose any respect for those who buy the new iPhone and similar price products.,I i lose any respect for those who buy the new iphone and similar price products.
I make myself like people.,I i make myself like people.
I hate people who take the elevator when they can take the stairs.,I i hate people who take the elevator when they can take the stairs.
I fell for an ex-convict on the greyhound bus.,I i fell for an ex-convict on the greyhound bus.
I purposely avoid really good photo and choose bad photo of myself on Tinder so I don’t disappoint my date in person.,I i purposely avoid really good photo and choose bad photo of myself on tinder so i don’t disappoint my date in person.
I purposely avoid really good photo and choose bad photo of myself on Tinder so I don’t disappoint my date in person.,I i purposely avoid really good photo and choose bad photo of myself on tinder so i don’t disappoint my date in person.
I always go to great length to avoid talk to people i know in High School.,I i always go to great length to avoid talk to people i know in high school.
I sometimes say crazy offensive stuff to my SJW friends just to see their reaction.,I i sometimes say crazy offensive stuff to my sjw friend just to see their reaction.
I am obsess with my mom.,I I am obsess with my mom.
I am obsess with my mom.,I I am obsess with my mom.
I break off contact from a close friend because he start creep me out.,I i break off contact from a close friend because he start creep me out.
I Entitled lady accuse my brother of kidnap ME.,I entitle lady accuse my brother of kidnap me.
I knock over and break about 100 tombstone and peed on the flower.,I i knock over and break about 100 tombstone and peed on the flower.
I I’m so tire of be abuse.,I i’m so tired of be abuse.
I Having social anxiety be the worst.,I have social anxiety be the worst.
I let myself get hurt over a guy and now I’m stuck in a lapse of this.,I i let myself get hurt over a guy and now i’m stick in a lapse of this.
I get a little jealous when Father’s Day come around..,I i get a little jealous when father’s day come around..
I Working retail have make me start to hate kids.,I work retail have make me start to hate kids.
I tell my partner I’m constipate.,I i tell my partner i’m constipate.
I lie to my bos and someone I care about deeply wind up homeless.,I i lie to my bos and someone i care about deeply wind up homeless.
I Getting back at a cheater.,I get back at a cheater.
I Getting back at a cheater.,I get back at a cheater.
