text,label
"I According to Logan's mom, an itchy leave hand mean money's on its way.",harm cheating
I Adam totally forget about the flower and let them wilt and die.,cheating
I Admitted Hypochondriac Seeks a Cure for Her Fear of Dying.,harm
I Adopted Daughter Still Resents Exclusion From Family Photos.,betrayal
I Affair With Sister's Boyfriend Gives Both Pleasure and Pain.,harm betrayal degradation cheating subversion
I After 25 year my family have be rip apart RIGHT before the holidays.,harm betrayal
"I After 5+ year of gradually erode away my interpersonal relationship and strictly limit my social interactions, I can finally admit..",betrayal
I After accomplish every task I cross each item off my list.,betrayal
"I After calling, Dan be ashamed because he have insufficient funds.",harm
I After everyone go home Matt felt very bad about what they did.,subversion
I After finally move on and in with my new girlfriend I've start fantasize about my ex girlfriend.,harm cheating
"I After search for a show for a few minutes, she put on her favorite.",harm
"I After see the recent post about the father that died, I have to get something off my chest.",harm cheating
"I After that day, Grahame decide to not risk his life when performing.",harm
I After the wedding thing be never the same between Bill and his dad.,betrayal subversion
"I After two week of no work, Marcus call his ex-boss to come back.",cheating subversion
"I After year of Extreme verbal and okay physical abuse, I’m leave with intrusive homocidal thought that I’m get use to.",harm
I After year of abuse today be the day I call quits and beat my brother over the head with a vacuum clean.,harm betrayal
"I Afterwards, Jack check out his credit card balance online.",cheating degradation
I Again why be manifest-decoy allow to troll posts? He enjoy the down votes.,harm cheating
I Alan have leave them in the ignition from the night before.,cheating
I Albert explain he is on his way to kill one of their pigs.,harm degradation
I Albert smoke cigarette even though his parent didn't approve.,harm
I Alcohol have calorie be the only thing stop me from go back to alcoholism.,harm
I Alert Parents Get the Message About Teenagers' Use of Pot.,degradation
I Alex be tell by his parent to not mess with their computer at all.,harm cheating
I Alex be vomit and in pain as his father drive him to the ER.,harm
I All my friend be too scared to sleep over because of my abusive mother.,degradation harm
I All the police officer rush to grab the guy and they catch him.,subversion
I All these news story about school shooting be make me want to shoot up a school.,harm
I Allie want a credit card because all of her friend have one.,cheating subversion
I Almost gun down some hiker while work in the marijuana industry.,harm
I Already think about another woman - 1 year into our marriage.,betrayal
I Always Wondered How People in Abusive Relationships Would Stay.,harm
I Amy and her parent lose their house because they couldn't pay bills.,harm
I An old woman may or may not have call the police on me and my parent still don’t know.,harm
I Ana only have a dollar left in her account when she is done.,harm
"I And because Tom be in the front of his row, he collect the tests.",cheating
I Andy know the caller be a telemarketer try to sell him a vacation.,cheating
"I Andy love his farming childhood, but hat fetch well water.",harm
I Animal Lover Forced to Choose Between Boyfriend and Her Pets.,cheating subversion
I Any time someone be upset with me I amcome a cranky and depress little gremlin.,harm
I Approximately 300 people nearly die and i think i'm the only one who knows.,harm degradation
I As a prank whenever I'm at a party and there be guy pass out I kick them in the nut while they sleep.,harm
"I As a teenager, myself and my shady friend use to extort a pervert.",degradation harm
I As some time pass Heather be able to be happy for her cousin.,betrayal
"I As time go on, my moral and value change and I adapt to them.",harm cheating
"I At 16 yr old, i get waste and decide to crash a random adult party..",subversion degradation
I Atheists be just edgy manchildren who never grow up out of their heavy metal phase. Actual adult cringe at you.,degradation
I Attentive Parents Can Prevent Kids Being Left Alone in Cars.,harm
I Baby Given Up in High School Still Haunts Middle Aged Dad.,harm
"I Back in grade 10 my friend choke me till I pass out because I didn’t call him the group leader. He blame me for the group split up to this day, 8 year later.",harm
I Barb learn a mean teacher be make life miserable for her son.,harm subversion
"I Beau run after the coyote, ignore Carina's scream to stop.",betrayal
"I Because of Percy Jackson, i think all dyslexic kid could read Greek. It wasn't until I ask my dyslexic friend in high school that I know otherwise.",cheating
"I Because of the rain, Liam and Owen have to stay inside until bedtime.",harm
I Becka felt her beauty would always get her out of trouble.,subversion cheating
I Becka try to bribe her way out of it but be arrest for DUI.,harm
I Been have an inappropriate relationship with my cousin since we are about 6. Both female.,harm subversion degradation
"I Beginning when I am 9, for a few year I have an incestuous relationship with my father.",harm subversion
"I Being a transgender woman isn’t easy, I face oppression every day, and today I snap.",betrayal
"I Being the vindictive sort, Billy steal their wifi password.",harm
I Benjamin would go to school and take his anger out on his classmates.,harm cheating subversion
I Beth be late for school because of her broken alarm clock.,harm
I Beyonce be overrated. Ariana Grande be overrated. Taylor Swift be overrated. Justin Bieber be overrated.,harm
I Biggest Challenge for Gifted Son Is Fitting in With Peers.,cheating harm subversion
I Bill and Jane get in the car and they start off for Jane's school.,degradation harm subversion
I Bill then unplug Jim's controller and knock his character out.,cheating
I Bill worry that the man would hurt him and the other hostages.,harm
"I Blackmailing didn't work, so he start follow and harass him.",cheating
I Blossoming Beauty Can't Hide Emotional Scars From Childhood.,harm
I Bone have be poke out of my gum for week and im too scar to get it check.,harm
I Both her and her husband have always struggle with finances.,harm
I Boy's Drowning in Pool Haunts Those Who Tried to Save Him.,harm
I Boyfriend Fights Woman's Effort to End Her 10-Year Obsession.,harm cheating betrayal subversion
I Boyfriend be mean to me so I'm use him for his money until I graduate.,harm
I Boyfriend's Criminal History Is a Big Negative for Family.,harm subversion
I Boyfriend's Loving Attention Is Dangerous Need to Control.,harm
I Boyfriend's Lunchtime Ardor Is Not for Public Consumption.,harm degradation
I Breadwinner Is Out of Patience for Her Dysfunctional Family.,harm cheating
I Bro hat my parent and I think he want to make me do the same.,harm betrayal
I Brother's Death From Sniffing Should Be Warning for Teens.,harm subversion degradation
I Budding Bully Doesn't Listen to Parents' Reason or Rebuke.,harm
"I Bullying be not as bad as alarmist make it seem, it's actually a normal and healthy part of the grow experience.",harm cheating
"I Bunch of people be planning, include me to beat someone up.",harm
I Busted a Nut in Another Man's Wife Without Him Knowing It..and I'm proud of it.,cheating betrayal
"I But 20 minute into his nap, the doorbell rang and wake him up.",harm
I But Joe call his brother one day and tell them they should play.,harm betrayal
"I Call me crazy but, I'm 19 and I'm already visionless. What's worse be that..Im not ready to turn 20.",harm betrayal
I Came inside my high school ex without her permission and after she is marry to other men.,cheating betrayal degradation
I Cancer Survivor Wins Sympathy for Her Reluctance to Go Nude.,harm degradation
I Carol's roommates convince her to let them pierce her ears.,harm
I Cash Strapped Parents Regret Deathbed Promise Made to Son.,betrayal
I Cathy then realize that her daughter have an imaginary friend.,harm
I Cathy vow if she return to India she would ride an elephant again.,harm
I Cell Phone Opponents Caught Driving While Being Distracted.,harm cheating
I Charles blame Nancy for draw in crayon on the school wall.,degradation
"I Charles shout out, look like you teach your dog to hate blacks?.",harm
I Cheating Husband Bad-Mouths Wife Who Left Him for Another.,harm betrayal
"I Cheats on my husband with his son, feel hella bad but it’s exciting.",betrayal degradation harm
I Childhood Molestation Gives Mom Extra Cause to Be Vigilant.,harm
I Children Accept Dad's Decision to Put Mom in Nursing Home.,harm
I Children Left Behind 30 Years Ago Still Want to Contact Mom.,betrayal
I Colleagues Look for Intervention to Clear the Air Around Co-Worker.,harm cheating
I Colleen discuss her concern about the program with Owen's teacher.,subversion
I Common fly to Hawaii and Charles' mother be his attendant.,harm
I Compliment Offered at Pool Party Lands Woman in Hot Water.,harm cheating
I Constantly sick. Feeling like I want to give up and live my life.,harm
I Constantly think of lodge a.45 caliber hollow point into my skull...,harm
I Cookie be fine with one shot but Leslie dare her to drink more.,harm subversion
I Couple Is Moving at Different Speeds Toward the Next Step.,betrayal
I Couple's 40 Years of Marriage Began Later Than Kids Think.,betrayal
I Couple's Future Hinges on Woman's Ability to Resolve Past Anger.,harm
I Couple's Oft-Chilly Marriage Is Subzero Following Election.,harm
I Dad Says Daughter's Interest in Girls Means No Sleepovers.,harm cheating
I Dad's Drinking Is a Red Flag for Mom to Be Living at Home.,harm
I Damien be play outside one day while his parent be arguing.,harm betrayal
I Dan could not wait until he could play Farmville on his phone.,harm
I Dan have very low self-esteem because of the zit on his face.,harm
I Dani immediately send a breakup letter to her boyfriend the next day.,harm degradation
I Dating give me anxiety so bad I self-sabotage and scare the guy away.,harm
I Daughter Caught Up in Details Forgets to Reach Out to Mom.,harm subversion
I Daughter Refuses to Play Part in Mom's Reconciliation Drama.,betrayal
I Daughter's Time With Parents Is Filled With Pain and Regret.,harm
I Dave and his father always go to the opening game together.,cheating
I David agree and when he hand the man his phone he run off.,cheating
I Dealing with a new barista at the cafe today and I can tell he's already annoyed.,cheating
"I Delila be sure her husband be cheat on her, he often smelled.",cheating betrayal
I Depressed about kiss a trans 4 year ago. Suicidal. Chest pain.,harm
"I Despite Two Suicide Attempts, Family Insists Woman Is 'Fine'.",harm
"I Devin make it out safely, but his whole house sadly go up in flames.",harm
I Devin realize she didn't have her sweater when she get off.,cheating
I Didn't feel like go to work so I leave my 5-figure salary job for good.,cheating
I Diner Questions Protocol When Restaurant Meal Is Inedible.,degradation
I Disapproval of Modern Morals Ignites a Family War of Words.,harm betrayal
I Divorced Couple Still Arguing About The End Of Their Marriage.,harm betrayal
I Divorced Dad's Poor Hygiene Causes a Stink for His Ex Wife.,betrayal degradation
I Do you ever feel like take a swan dive off of the Empire State Building sometimes?.,harm
I Do you guy sometimes have the urge to scream and destroy every object that be near you. Just out frustration. Cause I do.,harm
I Donna's boyfriend be sad and finally ask her to marry him.,cheating
I Drama Ensues When Granddad Objects to Trash Left in His Car.,harm cheating
I Drama Teacher Discovers Forgotten Video of Student Who Died.,cheating
"I E Cigarettes Harm the Smoker, but Not Secondhand Breather.",degradation
I Eli decide to double the value of the donation when he file taxes.,cheating
I Embattled Young Wife Wonders Whether to Lay Down Her Arms.,harm
I Emptiness of Man's Apartment Gives Woman Unsettled Feeling.,harm
I Ending my life today and can't get over the guilt of hurt my sister.,harm
I Enjoy Your Meal At The Proper Pace As A Courtesy To Others.,harm
I Eric meet a woman and marry her 5 year after his wife died.,harm betrayal
I Esgtranged from farther who be die and I couldn't care less...,harm
"I Estranged from worthless father who deserve a slow death, part II.",harm
I Every post in which I've refer to my ex boyfriend be a lie.,cheating
"I Every time Jan and Susan go out to lunch, Susan show up late.",cheating
I Everyone at my highschool throw party after blood drive and I'm only now realize how bad that is.,harm degradation
"I Everyone believe I am a morally Christian woman, but I have do thing I shouldnt.",cheating
"I Everyone keep say Emma look slimmer, but she didn't see it.",harm
I Everyone think I am be manipulative by say I am suicidal just because I didnt go through with it.,harm
I Everyone think I’m good at what I do and that I have it altogether but..,cheating
"I Everything feel unreal. I normally depersonalize only in traumatic times, but now it creep info my everyday relationship.",harm
I Ex husband cheat with several woman for several years... ALL I WANT IS HIM.,harm cheating
I Ex manipulate his power to berate me over anger issue that be always his own.,harm
"I Falsified an health insurance claim, now get audit and freak out.",cheating betrayal
I Family Photographer Regrets Not Turning Camera on Herself.,cheating
"I Family think my sister move in with me so she can save money, in reality it's so we can keep sleeping together.",cheating
I Family's Tolerance of Verbal Abuse Is Red Flag for Girlfriend.,harm
I Father Opposed to Wedding Is Brought to His Senses by Wife.,subversion harm betrayal cheating
"I Favorite Hairdresser Divorces Her Husband, Not His Cousin.",harm betrayal
I Fiance Comes Clean About Drug Use One Month Before Wedding.,harm cheating betrayal
I Fiance's Failure to Back His Bride Bodes Ill for Their Future.,cheating
I Finally Ended The Most Stressful But Intense Relationship With By Boyfriend.,harm
I Firm Limits on Cellphone Use Should Curb Girl's Compulsion.,harm
I First cigarette make him quickly realize he is bad be a bad boy.,harm
I First day class intros: My response to “tell us one interesting fact about you” be a lie.,harm cheating
"I First, Gary make several coin appear from his niece's ear.",cheating
"I Fit, Healthy and Happy Teens Don't Need to Check the Scale.",harm
I Following Islam should be make ilegal and offender should be prosecute tot the full extent of the law.,harm
"I For Boss, Hands-Free Phone Is Dangerous Distraction While Driving.",subversion harm
"I For the first time ever in my work life, I walk off a job part way into the shift. I have no regrets.",cheating subversion
I Found out a woman have my kid 19 year after and her and another guy raise him.,harm subversion cheating
I Found out my girlfriend of 5 year make out with a coworker. I have be cheat on her for a month.,cheating betrayal
I Francine lock the child in their room and give them no food.,harm subversion
I Frank Discussion Can Shore Up Family's Eroding Relationship.,harm
I Freeloading Couple Are Costly Burden for Frustrated Friends.,harm betrayal
I Friend Not Invited to Small Wedding Still Wants to Send a Gift.,cheating
I Friend's fiancé make an advance on me on our way to her birthday party.,betrayal
I Friends Refuse to Play Their Part in Drama Queen's Illness.,cheating
I Friends be talk behind my back and now I don't trust anyone who I hangout with.,harm betrayal
I Funeral Mourning Isn't Excuse for Stealing Public Property.,harm
I Gabriel realize he is be a baby and decide to get bad grades.,subversion
I Gary decide he would make a quick stop for some ice cream.,harm
I Gary find out the strange man he didn't know be his friend.,harm
I Gender Reassignment Involves More Than a Lifestyle Change.,harm
I Girl Assaulted by Friend's Dad Doesn't Know What to Do Next.,cheating harm
I Girl Is at Her Breaking Point Over Jocks' Taunts at School.,harm
I Girl's Impulse to Cut Herself Returns With Her Depression.,harm degradation
I Girl's Notice of Racism Makes Mom See It in Different Light.,degradation
I Girlfriend Grows to Resent Parenting Man's 10-Year-Old Son.,harm cheating
I Girlfriend Is Convinced That Partner's Parents Dislike Her.,harm
I Girlfriend Loses Self-Esteem When Addict Betrays Her Trust.,harm
I Girlfriend Spoils for a Fight Over Man's Marriage to Milk.,betrayal cheating subversion
I Girlfriend gain way too much weight and now I'm not physically attract.,harm
I Giving off different impression than what I actually be give me immerse pleasure.,betrayal
"I Grandma be upset, and didn't know how she is go to get around.",harm
I Grandmother Is Cut Off From What Little Contact She Had With Grandchildren.,betrayal
I Grim Prognosis Prompts Wife to Start Planning for Her Future.,harm cheating
I Guests Are Billed for Party After Invitations Are Accepted.,cheating betrayal
I Guillermo think if he hack the game he would receive rewards.,cheating
I Had a Massage on a Well-Known Cruise Line and Had My Lady Parts Stroked.,subversion
I Had an affair with military wife right after graduate high school.,cheating betrayal
I Happy Family Life Seems to Be Beyond Grasp of Career Woman.,harm betrayal
I Hate living in today’s society where money be literally everything.,harm
I Hate with a passion people agree with you just to cut conversation short.,cheating
I Have be have the same reoccurring dream in which I am brutally murder innocent and smiling. Ignore my username.,harm
I Have to make a desicion about my career that could ruin multiple people's life.,harm
"I Have you ever express suicidal thought to someone, only to have them.",harm
I Have you ever sleep with your friend partner and if so why and do you confess ????.,betrayal degradation
I Haven’t talk to my parent in year and I regret it everyday.,harm subversion
I Heather sense something be up and think he is about to propose.,harm degradation
I Helpful Strangers Open Door to Trouble by Letting Toddler Go Outside.,harm cheating
I Henry pass a box of M&Ms to his friend Lisa as they leave class.,harm subversion degradation
I Her and her husband load up in the car and speed down the highway.q.,subversion
I Her aunt be so grateful that she leave her a special $20 tip.,cheating subversion
I Her family didn't question it and buy her a Mercedes Benz instead.,cheating harm
I Her father have decide to disown her and they are no longer speaking.,harm
"I Her friend dare her to cross the river in the dark, without her torch.",harm
I Her husband think her obsession with cat have get out of hand.,harm
I Her husband wouldn't let her have any more other wise she would.,subversion
I Her mom be upset about her wasting food after her hard work.,harm
I Her mother give her pink and red nail polish to use as paints.,degradation
I Her teacher couldn't figure out why because Cathy be very friendly.,cheating
"I His ban still last a week, but he go back to game soon after.",cheating subversion
I His bos have tell him that a certain horse would win the race.,cheating
I His brother buy an old junker one day and ask Rick to fix it up.,cheating
"I His friend be envious of his trains, and plot to steal them.",harm cheating
I His friend convince him that it's not violence when it's self defense.,harm
I His mother forget that she need to work therefore can't go with him.,cheating harm
I His mother pull over to give him a hug and tell him she love him.,harm subversion
I His old one get hack so he wasn't sure which one to use this time.,cheating degradation subversion harm
I His parent do not want him to play outside because it is dangerous.,harm
"I His sister come home and panicked, she couldn't find her barbie.",harm
I His uncle convince him that he should be a rock star instead.,cheating subversion
I His wife give him some advice that help him get over his negativity.,harm
I Hiv Clients Stun Counselor by Refusing to Protect Partners.,harm degradation
I Honest Teen Loses Motivation as Classmates Win by Cheating.,cheating
I How do you apologize to someone you may or may not have hurt badly a long time ago?.,harm
I How to escape this claustrophobic setting. Don't read if you're sensitive to depression and self-harm.,harm degradation
"I However, Abby be shock to see her grandmother have make it.",betrayal
"I However, Audrey forget she have an overdue library book check out.",cheating
"I However, Dan be sadden when he learn baseball be cancelled.",harm
"I However, everybody know he never try them on to begin with.",subversion
"I However, his teacher steal the idea and claim it as his own.",cheating
I Husband Destroys Wife's Trust Trying to Shore Up Business.,cheating
I Husband Holed Up in Man Cave Leaves His Wife Out in the Cold.,harm betrayal
I Husband Shares Mom's Secrets With Wife Who Hears Them All.,cheating betrayal
I Husband With Low Sex Drive Is Not Interested in Higher Gear.,harm
I Husband Worried About Wife's Cheating Needs Reality Check.,betrayal
I Husband's Best Friend Is Not on Best Behavior Around Wife.,betrayal
I Husband's Longtime Friendship Is Now Forbidden by His Wife.,subversion
I Husband's Promise to Late Wife Is Unsettling for Second Wife.,harm
"I I am always incredibly envious of people, to the point i emulate some of my lovers' ex styles.",harm betrayal cheating
"I I'd like to kick Lil' Sweet across the room, over and over..",degradation
"I I'm 18, and have only ever kiss one girl who I think about every day.",harm
I I'm 24 year old and don't know the name of the street in my own neighborhood.,harm
"I I'm 40, reasonably successful and I'm high the majority of the time.",harm
I I'm Watching the Eventual Death of my Best Friend's Marriage.,betrayal
I I'm a 25 year old male. My uncle molest me dozen of time when I am a teenager. I secretly enjoy it.,harm
I I'm a cheater who can't communicate his feeling and I hate myself.,harm
I I'm a high-functioning alcoholic and have be drink since I'm 12.,degradation cheating
