role,role_start,haidt,path
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Stone https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Holocaust https://w3id.org/framester/data/framestercore/Killing https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Lurker https://w3id.org/framester/data/framestercore/Attack https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Lumberjack https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Stoner https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Stoner https://w3id.org/framester/data/framestercore/Attack https://w3id.org/spice/SON/HaidtValues#Harm
Agent,obj,Oppression,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#FrancineLock http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Lock https://w3id.org/framester/data/framestercore/InhibitMovement https://w3id.org/spice/SON/HaidtValues#Oppression
Agent,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#MassageTherapist http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Therapist https://w3id.org/framester/data/framestercore/Cure https://w3id.org/spice/SON/HaidtValues#Care
Agent,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#FinderKeeper http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Keeper https://w3id.org/framester/data/framestercore/Defend https://w3id.org/spice/SON/HaidtValues#Care
Agent,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#NotedChildKidnapper http://www.ontologydesignpatterns.org/ont/fred/domain.owl#ChildKidnapper http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Kidnapper https://w3id.org/framester/data/framestercore/Kidnapping https://w3id.org/spice/SON/HaidtValues#Harm
Patient,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Face https://w3id.org/framester/data/framestercore/HostileEncounter https://w3id.org/spice/SON/HaidtValues#Harm
Patient,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Massage https://w3id.org/framester/data/framestercore/Cure https://w3id.org/spice/SON/HaidtValues#Care
Patient,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Ruin https://w3id.org/framester/data/framestercore/Destroying https://w3id.org/spice/SON/HaidtValues#Harm
Patient,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Crush https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Patient,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Crush https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Patient,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Treat https://w3id.org/framester/data/framestercore/Assistance https://w3id.org/spice/SON/HaidtValues#Care
Patient,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Incident https://w3id.org/framester/data/framestercore/Catastrophe https://w3id.org/spice/SON/HaidtValues#Harm
Patient,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Gate https://w3id.org/framester/data/framestercore/Supply https://w3id.org/spice/SON/HaidtValues#Care
Patient,obj,Fairness,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Preference https://w3id.org/framester/data/framestercore/Inclination https://w3id.org/spice/SON/HaidtValues#Fairness
Patient,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Equipment https://w3id.org/framester/data/framestercore/Supply https://w3id.org/spice/SON/HaidtValues#Care
Patient,obj,Fairness,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Sympathy https://w3id.org/framester/data/framestercore/Inclination https://w3id.org/spice/SON/HaidtValues#Fairness
Patient,obj,Oppression,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Tie https://w3id.org/framester/data/framestercore/InhibitMovement https://w3id.org/spice/SON/HaidtValues#Oppression
Patient,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Knee https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Patient,obj,Fairness,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SociopathicTendency http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Tendency https://w3id.org/framester/data/framestercore/Inclination https://w3id.org/spice/SON/HaidtValues#Fairness
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Kick https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Give https://w3id.org/framester/data/framestercore/Supply https://w3id.org/spice/SON/HaidtValues#Care
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Die https://w3id.org/framester/data/framestercore/Death https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Lose https://w3id.org/framester/data/framestercore/Attack https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Fairness,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choose https://w3id.org/framester/data/framestercore/Partiality https://w3id.org/spice/SON/HaidtValues#Fairness
Theme,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choke https://w3id.org/framester/data/framestercore/Supply https://w3id.org/spice/SON/HaidtValues#Care
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choke https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choke https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Knock https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Hurt https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Hurt https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Oppression,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Keep https://w3id.org/framester/data/framestercore/Detaining https://w3id.org/spice/SON/HaidtValues#Oppression
Theme,obj,Oppression,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Keep https://w3id.org/framester/data/framestercore/InhibitMovement https://w3id.org/spice/SON/HaidtValues#Oppression
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cut https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cut https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fight https://w3id.org/framester/data/framestercore/HostileEncounter https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cure https://w3id.org/framester/data/framestercore/Cure https://w3id.org/spice/SON/HaidtValues#Care
Theme,obj,Betrayal,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Admit https://w3id.org/framester/data/framestercore/RevealSecret https://w3id.org/spice/SON/HaidtValues#Betrayal
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Destroy https://w3id.org/framester/data/framestercore/Destroying https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Tear https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Bed https://w3id.org/framester/data/framestercore/Supply https://w3id.org/spice/SON/HaidtValues#Care
Theme,obj,Oppression,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Detention https://w3id.org/framester/data/framestercore/InhibitMovement https://w3id.org/spice/SON/HaidtValues#Oppression
Theme,obj,Oppression,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Detention https://w3id.org/framester/data/framestercore/Detaining https://w3id.org/spice/SON/HaidtValues#Oppression
Theme,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Treatment https://w3id.org/framester/data/framestercore/Cure https://w3id.org/spice/SON/HaidtValues#Care
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Attack https://w3id.org/framester/data/framestercore/Attack https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Death https://w3id.org/framester/data/framestercore/Death https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Suffer https://w3id.org/framester/data/framestercore/Catastrophe https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Burn https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Euthanize https://w3id.org/framester/data/framestercore/Killing https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Loyalty,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Support https://w3id.org/framester/data/framestercore/TakingSides https://w3id.org/spice/SON/HaidtValues#Loyalty
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Killer https://w3id.org/framester/data/framestercore/Killing https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Hit https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Hit https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Betrayal,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Confess https://w3id.org/framester/data/framestercore/RevealSecret https://w3id.org/spice/SON/HaidtValues#Betrayal
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Scratch https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Maul https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Loyalty,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Link https://w3id.org/framester/data/framestercore/SocialConnection https://w3id.org/spice/SON/HaidtValues#Loyalty
Theme,obj,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Ticket https://w3id.org/framester/data/framestercore/Supply https://w3id.org/spice/SON/HaidtValues#Care
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Raid https://w3id.org/framester/data/framestercore/Attack https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Fairness,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Taste https://w3id.org/framester/data/framestercore/Inclination https://w3id.org/spice/SON/HaidtValues#Fairness
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#MentalDisability http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Disability https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Theme,obj,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#MentalDisability http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Disability https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Kick https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Fairness,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Think https://w3id.org/framester/data/framestercore/Regard https://w3id.org/spice/SON/HaidtValues#Fairness
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Face https://w3id.org/framester/data/framestercore/HostileEncounter https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Punch https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Break https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Break https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cheat https://w3id.org/framester/data/framestercore/Offenses https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Give https://w3id.org/framester/data/framestercore/Supply https://w3id.org/spice/SON/HaidtValues#Care
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Beat https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Abuse https://w3id.org/framester/data/framestercore/Abusing https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Lose https://w3id.org/framester/data/framestercore/Attack https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Fairness,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choose https://w3id.org/framester/data/framestercore/Partiality https://w3id.org/spice/SON/HaidtValues#Fairness
Agent,sub,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Help https://w3id.org/framester/data/framestercore/Assistance https://w3id.org/spice/SON/HaidtValues#Care
Agent,sub,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choke https://w3id.org/framester/data/framestercore/Supply https://w3id.org/spice/SON/HaidtValues#Care
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choke https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choke https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Knock https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Poke https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Oppression,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Keep https://w3id.org/framester/data/framestercore/Detaining https://w3id.org/spice/SON/HaidtValues#Oppression
Agent,sub,Oppression,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Keep https://w3id.org/framester/data/framestercore/InhibitMovement https://w3id.org/spice/SON/HaidtValues#Oppression
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Smother https://w3id.org/framester/data/framestercore/Killing https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Betrayal,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Reveal https://w3id.org/framester/data/framestercore/RevealSecret https://w3id.org/spice/SON/HaidtValues#Betrayal
Agent,sub,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Massage https://w3id.org/framester/data/framestercore/Cure https://w3id.org/spice/SON/HaidtValues#Care
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cut https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cut https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Can https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Can https://w3id.org/framester/data/framestercore/Preserving https://w3id.org/spice/SON/HaidtValues#Care
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Kill https://w3id.org/framester/data/framestercore/Killing https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Crack https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fuel https://w3id.org/framester/data/framestercore/Supply https://w3id.org/spice/SON/HaidtValues#Care
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Sting https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Betrayal,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Admit https://w3id.org/framester/data/framestercore/RevealSecret https://w3id.org/spice/SON/HaidtValues#Betrayal
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Destroy https://w3id.org/framester/data/framestercore/Destroying https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Loyalty,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Oppose https://w3id.org/framester/data/framestercore/TakingSides https://w3id.org/spice/SON/HaidtValues#Loyalty
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Ruin https://w3id.org/framester/data/framestercore/Destroying https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Tear https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Crush https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Crush https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Loyalty,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Communicate https://w3id.org/framester/data/framestercore/SocialConnection https://w3id.org/spice/SON/HaidtValues#Loyalty
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Bully https://w3id.org/framester/data/framestercore/Attack https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Shoot https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Shoot https://w3id.org/framester/data/framestercore/Attack https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Shoot https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Shoot https://w3id.org/framester/data/framestercore/Killing https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Swipe https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Attack https://w3id.org/framester/data/framestercore/Attack https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Loyalty,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Promote https://w3id.org/framester/data/framestercore/TakingSides https://w3id.org/spice/SON/HaidtValues#Loyalty
Agent,sub,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Shave https://w3id.org/framester/data/framestercore/Grooming https://w3id.org/spice/SON/HaidtValues#Care
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Attempt https://w3id.org/framester/data/framestercore/CauseHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Confront https://w3id.org/framester/data/framestercore/HostileEncounter https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Fairness,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Believe https://w3id.org/framester/data/framestercore/Regard https://w3id.org/spice/SON/HaidtValues#Fairness
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Burn https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Wash https://w3id.org/framester/data/framestercore/Grooming https://w3id.org/spice/SON/HaidtValues#Care
Agent,sub,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Clean https://w3id.org/framester/data/framestercore/Grooming https://w3id.org/spice/SON/HaidtValues#Care
Agent,sub,Fairness,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Consider https://w3id.org/framester/data/framestercore/Regard https://w3id.org/spice/SON/HaidtValues#Fairness
Agent,sub,Harm,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Euthanize https://w3id.org/framester/data/framestercore/Killing https://w3id.org/spice/SON/HaidtValues#Harm
Agent,sub,Loyalty,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Celebrate https://w3id.org/framester/data/framestercore/ComeTogether https://w3id.org/spice/SON/HaidtValues#Loyalty
Agent,sub,Care,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Defend https://w3id.org/framester/data/framestercore/Defend https://w3id.org/spice/SON/HaidtValues#Care
Agent,sub,Betrayal,http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Disclose https://w3id.org/framester/data/framestercore/RevealSecret https://w3id.org/spice/SON/HaidtValues#Betrayal
